code_postal,latitude,longitude,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.8861934456,5.14349196896,Bourg-Saint-Christophe,1,Ain,84,Auvergne-Rhône-Alpes
1640,46.0363677631,5.46322744717,Boyeux-Saint-Jérôme,1,Ain,84,Auvergne-Rhône-Alpes
1190,46.4051688134,4.9135797178,Boz,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.6416854652,5.61653371,Brégnier-Cordon,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9500082947,5.7371892334,Brénaz,1,Ain,84,Auvergne-Rhône-Alpes
1110,46.0759940484,5.61418361314,Brénod,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7135069062,5.68998154517,Brens,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.869423064,5.1009428902,Bressolles,1,Ain,84,Auvergne-Rhône-Alpes
1360,45.869423064,5.1009428902,Bressolles,1,Ain,84,Auvergne-Rhône-Alpes
1460,46.1686327301,5.54656422194,Brion,1,Ain,84,Auvergne-Rhône-Alpes
1470,45.7708330939,5.48537461884,Briord,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.2104135162,5.14487465017,Buellas,1,Ain,84,Auvergne-Rhône-Alpes
1310,46.2104135162,5.14487465017,Buellas,1,Ain,84,Auvergne-Rhône-Alpes
1510,45.8598709332,5.54609714598,La Burbanche,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.1256533435,5.49457379202,Ceignes,1,Ain,84,Auvergne-Rhône-Alpes
1450,46.0720202633,5.47577586118,Cerdon,1,Ain,84,Auvergne-Rhône-Alpes
1240,46.1337950959,5.26239539372,Certines,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.315689376,6.0779844362,Cessy,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.1832170988,5.32007207542,Ceyzériat,1,Ain,84,Auvergne-Rhône-Alpes
1350,45.8335530148,5.71933090966,Ceyzérieu,1,Ain,84,Auvergne-Rhône-Alpes
1320,46.0076491739,5.16936568,Chalamont,1,Ain,84,Auvergne-Rhône-Alpes
1480,46.0340545373,4.79853838574,Chaleins,1,Ain,84,Auvergne-Rhône-Alpes
1230,45.9533367734,5.53682505273,Chaley,1,Ain,84,Auvergne-Rhône-Alpes
1450,46.1221539654,5.45755377201,Challes-la-Montagne,1,Ain,84,Auvergne-Rhône-Alpes
1630,46.1768358327,5.97115092939,Challex,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9316447397,5.69321890072,Champagne-en-Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9316447397,5.69321890072,Champagne-en-Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1260,45.9316447397,5.69321890072,Champagne-en-Valromey,1,Ain,84,Auvergne-Rhône-Alpes
1110,46.0198844188,5.60008759722,Champdor-Corcelles,1,Ain,84,Auvergne-Rhône-Alpes
1110,46.0198844188,5.60008759722,Champdor-Corcelles,1,Ain,84,Auvergne-Rhône-Alpes
1410,46.220365768,5.82233573131,Champfromier,1,Ain,84,Auvergne-Rhône-Alpes
